iter	Passed	Remaining
772	11233	3298
773	11245	3283
774	11259	3268
775	11273	3254
776	11285	3239
777	11300	3224
778	11314	3209
779	11327	3195
780	11343	3180
781	11358	3166
782	11373	3152
783	11386	3137
784	11400	3122
785	11416	3108
786	11429	3093
787	11442	3078
788	11456	3063
789	11470	3049
790	11483	3034
791	11498	3019
792	11513	3005
793	11528	2991
794	11542	2976
795	11557	2961
796	11572	2947
797	11587	2933
798	11599	2918
799	11615	2903
800	11630	2889
801	11644	2874
802	11658	2860
803	11672	2845
804	11688	2831
805	11701	2816
806	11714	2801
807	11731	2787
808	11744	2772
809	11759	2758
810	11772	2743
811	11788	2729
812	11803	2714
813	11818	2700
814	11834	2686
815	11847	2671
816	11862	2657
817	11876	2642
818	11889	2627
819	11901	2612
820	11914	2597
821	11928	2582
822	11941	2568
823	11954	2553
824	11968	2538
825	11982	2524
826	11995	2509
827	12008	2494
828	12024	2480
829	12037	2465
830	12053	2451
831	12068	2436
832	12085	2422
833	12099	2408
834	12115	2394
835	12127	2379
836	12142	2364
837	12157	2350
838	12172	2335
839	12185	2321
840	12198	2306
841	12214	2292
842	12230	2277
843	12244	2263
844	12258	2248
845	12271	2233
846	12285	2219
847	12300	2204
848	12312	2189
849	12325	2175
850	12339	2160
851	12351	2145
852	12365	2130
853	12378	2116
854	12394	2101
855	12406	2087
856	12421	2072
857	12434	2057
858	12450	2043
859	12462	2028
860	12476	2014
861	12491	1999
862	12504	1985
863	12519	1970
864	12534	1956
865	12550	1941
866	12566	1927
867	12579	1913
868	12593	1898
869	12609	1884
870	12625	1869
871	12642	1855
872	12657	1841
873	12669	1826
874	12684	1812
875	12698	1797
876	12714	1783
877	12733	1769
878	12748	1754
879	12762	1740
880	12779	1726
881	12797	1712
882	12815	1698
883	12829	1683
884	12843	1668
885	12856	1654
886	12867	1639
887	12881	1624
888	12897	1610
889	12911	1595
890	12926	1581
891	12940	1566
892	12956	1552
893	12969	1537
894	12981	1523
895	12995	1508
896	13007	1493
897	13023	1479
898	13037	1464
899	13053	1450
900	13069	1436
901	13085	1421
902	13099	1407
